Timestamp,Topic,Message
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Alarm Message,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Algorithm Parameters/Alarm Message"",
  ""acqDateTime"": ""2024-07-09T20:40:41.778+07:00"",
  ""dataType"": 1,
  ""valueAsNumeric"": ""NaN"",
  ""valueAsString"": ""GTG3301 Phase A"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0860447Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Statistical Parameters/QMax95,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Statistical Parameters/QMax95"",
  ""acqDateTime"": ""2025-02-12T12:59:44.46+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 0.49609375,
  ""valueAsString"": ""0.49609375"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0860447Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Statistical Parameters/N,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Statistical Parameters/N"",
  ""acqDateTime"": ""2025-02-12T12:59:44.46+07:00"",
  ""dataType"": 4,
  ""valueAsNumeric"": 15000.0,
  ""valueAsString"": ""15000"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0870512Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Statistical Parameters/Nw,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Statistical Parameters/Nw"",
  ""acqDateTime"": ""2025-02-12T12:59:44.46+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 16.073010102339854,
  ""valueAsString"": ""16.0730101023399"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0880441Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Statistical Parameters/N\s,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Statistical Parameters/N\\s"",
  ""acqDateTime"": ""2025-02-12T12:59:44.46+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 804.01697690876233,
  ""valueAsString"": ""804.016976908762"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0880441Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Statistical Parameters/Sync Amplitude,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Statistical Parameters/Sync Amplitude"",
  ""acqDateTime"": ""2025-02-12T12:59:44.46+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 2.3030300140380859,
  ""valueAsString"": ""2.30303001403809"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0890416Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Statistical Parameters/Sync Frequency,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Entire/Statistical Parameters/Sync Frequency"",
  ""acqDateTime"": ""2025-02-12T12:59:44.46+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 50.022800445556641,
  ""valueAsString"": ""50.0228004455566"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.09004Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/QMax Th1,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/QMax Th1"",
  ""acqDateTime"": ""2024-04-10T23:03:21.597+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 2E-07,
  ""valueAsString"": ""2E-07"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.09004Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/QMax Th2,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/QMax Th2"",
  ""acqDateTime"": ""2024-04-10T23:03:21.615+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 0.4,
  ""valueAsString"": ""0.4"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0910403Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Acquisition Number,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Acquisition Number"",
  ""acqDateTime"": ""2024-04-10T23:03:21.619+07:00"",
  ""dataType"": 4,
  ""valueAsNumeric"": 6.0,
  ""valueAsString"": ""6"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0920428Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Attenuation Factor,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Attenuation Factor"",
  ""acqDateTime"": ""2024-04-10T23:03:21.628+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 1.0,
  ""valueAsString"": ""1"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0920428Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
2025-02-12 21:46:02,tiscada/data/acquisition/PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Risk Factor Ns,"{
  ""nodePath"": ""PTTGC6/SS_02/GEN_1/PDSCOPE 1/Channel1/Ch1/Subsession 0/Area Complementary/Algorithm Parameters/Risk Factor Ns"",
  ""acqDateTime"": ""2024-04-10T23:03:21.632+07:00"",
  ""dataType"": 3,
  ""valueAsNumeric"": 100000.0,
  ""valueAsString"": ""100000"",
  ""qtyName"": null,
  ""messageTimeStamp"": ""2025-02-12T14:46:02.0930416Z"",
  ""qualityCode"": {
    ""Validity"": ""Good"",
    ""DetailQuality"": null,
    ""Source"": ""Process"",
    ""test"": null,
    ""operatorBlocked"": null,
    ""disconnected"": null
  }
}"
